Function,Algorithm 1,Algorithm 2,p-value,Significant (p < 0.05)
F102020,WOA_SA,WOA_GA,0.0,Yes
F102020,WOA_SA,WOA_PSO,0.0,Yes
F102020,WOA_SA,WOA_Cros,0.0,Yes
F102020,WOA_SA,WOA_Mut,0.0,Yes
F102020,WOA_SA,WOA_original,0.0,Yes
F102020,WOA_GA,WOA_PSO,0.0,Yes
F102020,WOA_GA,WOA_Cros,0.0,Yes
F102020,WOA_GA,WOA_Mut,0.00088,Yes
F102020,WOA_GA,WOA_original,0.0,Yes
F102020,WOA_PSO,WOA_Cros,0.0,Yes
F102020,WOA_PSO,WOA_Mut,0.0,Yes
F102020,WOA_PSO,WOA_original,0.0,Yes
F102020,WOA_Cros,WOA_Mut,0.0,Yes
F102020,WOA_Cros,WOA_original,0.0,Yes
F102020,WOA_Mut,WOA_original,0.0,Yes
F12020,WOA_SA,WOA_GA,0.0,Yes
F12020,WOA_SA,WOA_PSO,0.0,Yes
F12020,WOA_SA,WOA_Cros,0.0,Yes
F12020,WOA_SA,WOA_Mut,0.0,Yes
F12020,WOA_SA,WOA_original,0.0,Yes
F12020,WOA_GA,WOA_PSO,0.0,Yes
F12020,WOA_GA,WOA_Cros,0.0,Yes
F12020,WOA_GA,WOA_Mut,0.0607,No
F12020,WOA_GA,WOA_original,0.0,Yes
F12020,WOA_PSO,WOA_Cros,0.0,Yes
F12020,WOA_PSO,WOA_Mut,0.0,Yes
F12020,WOA_PSO,WOA_original,0.0,Yes
F12020,WOA_Cros,WOA_Mut,0.0,Yes
F12020,WOA_Cros,WOA_original,0.0,Yes
F12020,WOA_Mut,WOA_original,0.0,Yes
F202005,WOA_SA,WOA_GA,0.0,Yes
F202005,WOA_SA,WOA_PSO,0.90102,No
F202005,WOA_SA,WOA_Cros,0.00432,Yes
F202005,WOA_SA,WOA_Mut,0.0,Yes
F202005,WOA_SA,WOA_original,0.0,Yes
F202005,WOA_GA,WOA_PSO,0.0,Yes
F202005,WOA_GA,WOA_Cros,0.0,Yes
F202005,WOA_GA,WOA_Mut,0.32303,No
F202005,WOA_GA,WOA_original,0.01088,Yes
F202005,WOA_PSO,WOA_Cros,0.0031,Yes
F202005,WOA_PSO,WOA_Mut,0.0,Yes
F202005,WOA_PSO,WOA_original,0.0,Yes
F202005,WOA_Cros,WOA_Mut,0.0,Yes
F202005,WOA_Cros,WOA_original,0.0,Yes
F202005,WOA_Mut,WOA_original,0.0607,No
F202010,WOA_SA,WOA_GA,0.0,Yes
F202010,WOA_SA,WOA_PSO,0.0,Yes
F202010,WOA_SA,WOA_Cros,0.0,Yes
F202010,WOA_SA,WOA_Mut,0.00111,Yes
F202010,WOA_SA,WOA_original,0.0932,No
F202010,WOA_GA,WOA_PSO,0.0,Yes
F202010,WOA_GA,WOA_Cros,0.0,Yes
F202010,WOA_GA,WOA_Mut,0.0,Yes
F202010,WOA_GA,WOA_original,0.0,Yes
F202010,WOA_PSO,WOA_Cros,0.0,Yes
F202010,WOA_PSO,WOA_Mut,0.0,Yes
F202010,WOA_PSO,WOA_original,0.0,Yes
F202010,WOA_Cros,WOA_Mut,0.0,Yes
F202010,WOA_Cros,WOA_original,0.0,Yes
F202010,WOA_Mut,WOA_original,0.66665,No
F202013,WOA_SA,WOA_GA,0.60206,No
F202013,WOA_SA,WOA_PSO,0.0,Yes
F202013,WOA_SA,WOA_Cros,0.94989,No
F202013,WOA_SA,WOA_Mut,0.02927,Yes
F202013,WOA_SA,WOA_original,0.00139,Yes
F202013,WOA_GA,WOA_PSO,2e-05,Yes
F202013,WOA_GA,WOA_Cros,0.23602,No
F202013,WOA_GA,WOA_Mut,0.3061,No
F202013,WOA_GA,WOA_original,0.24549,No
F202013,WOA_PSO,WOA_Cros,0.00024,Yes
F202013,WOA_PSO,WOA_Mut,1e-05,Yes
F202013,WOA_PSO,WOA_original,3e-05,Yes
F202013,WOA_Cros,WOA_Mut,0.07777,No
F202013,WOA_Cros,WOA_original,0.13976,No
F202013,WOA_Mut,WOA_original,0.58292,No
F202014,WOA_SA,WOA_GA,0.0,Yes
F202014,WOA_SA,WOA_PSO,0.0,Yes
F202014,WOA_SA,WOA_Cros,0.0,Yes
F202014,WOA_SA,WOA_Mut,0.0,Yes
F202014,WOA_SA,WOA_original,0.0,Yes
F202014,WOA_GA,WOA_PSO,0.0,Yes
F202014,WOA_GA,WOA_Cros,0.0,Yes
F202014,WOA_GA,WOA_Mut,0.70895,No
F202014,WOA_GA,WOA_original,0.0007,Yes
F202014,WOA_PSO,WOA_Cros,0.03369,Yes
F202014,WOA_PSO,WOA_Mut,0.0,Yes
